"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"TUBB" 6.97645358279976e-73 3.94150413497251 0.904 0.121 1.39529071655995e-69
"STMN1" 3.08925577658928e-60 2.97720684741217 0.872 0.133 6.17851155317856e-57
"TUBA1B" 7.69039562590439e-56 3.22587350625154 0.904 0.267 1.53807912518088e-52
"RRM2" 5.55019954487001e-50 3.06876936909051 0.536 0.019 1.110039908974e-46
"ASF1B" 3.84482496843786e-49 2.59271960706924 0.52 0.016 7.68964993687573e-46
"HMGB2" 2.13378641953172e-39 2.55885046514593 0.808 0.247 4.26757283906344e-36
"TOP2A" 7.2586692572912e-39 2.44666363596364 0.456 0.023 1.45173385145824e-35
"NUSAP1" 2.21431030144667e-38 2.52792916470595 0.496 0.037 4.42862060289333e-35
"TYMS" 8.54858442929397e-37 2.10110811109959 0.512 0.047 1.70971688585879e-33
"MYBL2" 3.45053949580873e-35 1.96504627410815 0.352 0.005 6.90107899161747e-32
"MKI67" 1.83784003089391e-31 2.31068039850858 0.44 0.04 3.67568006178781e-28
"AURKB" 7.57142808432249e-29 2.10495679207735 0.304 0.007 1.5142856168645e-25
"KIFC1" 1.70110388932352e-28 2.26907285637228 0.352 0.021 3.40220777864705e-25
"SMC2" 4.55267487751994e-27 1.69927960932292 0.36 0.026 9.10534975503987e-24
"ASPM" 9.37385919408626e-27 2.03244115166154 0.328 0.019 1.87477183881725e-23
"UBE2C" 6.35703368786639e-26 1.88379811931049 0.312 0.016 1.27140673757328e-22
"CENPM" 2.09360143550354e-25 1.53999409195111 0.392 0.042 4.18720287100709e-22
"TPX2" 4.63674665055755e-25 1.70622659913861 0.288 0.012 9.27349330111511e-22
"MCM7" 5.81850258006441e-25 1.64834130730107 0.488 0.084 1.16370051601288e-21
"CENPF" 1.58813612520815e-24 1.67007945673791 0.392 0.044 3.1762722504163e-21
"TK1" 3.25340330129412e-24 1.81785122281226 0.32 0.023 6.50680660258824e-21
"UBE2T" 1.3915343260841e-23 1.69898245325913 0.272 0.012 2.78306865216821e-20
"CCNA2" 9.7628182326932e-22 1.61502584886959 0.216 0.002 1.95256364653864e-18
"BIRC5" 2.14636528036837e-21 1.71006980781335 0.328 0.035 4.29273056073673e-18
"ZWINT" 6.50659490736783e-21 1.40345131953444 0.256 0.014 1.30131898147357e-17
"GTSE1" 6.79944003905987e-21 1.60727177457089 0.28 0.021 1.35988800781197e-17
