"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"CCL20" 1.7152548154531e-142 -1.09932758506605 0.977 0.032 3.43050963090621e-139
"GADD45A" 6.48968136008847e-104 -1.04216604748251 0.985 0.082 1.29793627201769e-100
"EHD3" 4.01453793679288e-103 1.66711614976819 0.117 0 8.02907587358577e-100
"VPS13C" 2.69482814689078e-100 -1.15321468718604 1 0.1 5.38965629378157e-97
"GFPT2" 6.32940625467364e-96 -1.06619543717005 0.89 0.06 1.26588125093473e-92
"APOL6" 2.17291055713529e-87 -1.42114755269433 1 0.123 4.34582111427059e-84
"TRAT1" 5.31048778963263e-86 -1.18850851498113 0.996 0.123 1.06209755792653e-82
"C19orf38" 6.85418778445512e-86 1.24242210894976 0.152 0 1.37083755689102e-82
"FECH" 3.499322059878e-85 1.04995777022099 0.14 0.011 6.99864411975601e-82
"CD63" 1.59466611710544e-84 -1.27453593949892 1 0.128 3.18933223421088e-81
"PLIN2" 2.5721616877052e-84 -1.05645359393821 0.973 0.109 5.14432337541039e-81
"PDE2A" 5.52930971066849e-82 1.03990328666975 0.155 0 1.1058619421337e-78
"TSC22D2" 8.17676274586843e-81 -1.25553239236839 0.985 0.125 1.63535254917369e-77
"AQP3" 5.31155425055556e-78 -1.63376857858085 0.985 0.13 1.06231085011111e-74
"TXNDC9" 2.65900693819116e-76 1.0700283787424 0.17 0.016 5.31801387638231e-73
"ELL2" 2.75859696595998e-75 -1.31001320695322 0.951 0.109 5.51719393191996e-72
"PTP4A3" 3.70071497331443e-75 1.26280961830941 0.174 0.004 7.40142994662886e-72
"MYC" 5.45072898067983e-75 1.30908015112595 0.159 0.009 1.09014579613597e-71
"IDI1" 1.24756336526984e-73 -1.04343073267316 1 0.151 2.49512673053968e-70
"ZNF384" 2.69960284934301e-72 1.00393570440989 0.167 0.012 5.39920569868603e-69
"HSPA1B" 8.83458958800753e-71 -1.88175373144066 1 0.156 1.76691791760151e-67
"ALOX5AP" 1.69424025146462e-66 -1.21996213857419 1 0.167 3.38848050292923e-63
"SNX3" 1.04559817434643e-65 1.08318117465914 0.193 0.037 2.09119634869286e-62
"AREG" 4.25297954502163e-65 -1.57074111797031 0.936 0.119 8.50595909004326e-62
"MAFF" 1.77105455017486e-64 -1.28618198516323 0.936 0.121 3.54210910034971e-61
"GCC2" 2.2733431358738e-60 -1.00100564484785 0.932 0.13 4.54668627174759e-57
"BANF1" 1.23916758941561e-58 1.04101207614653 0.212 0.042 2.47833517883122e-55
"NME1" 1.5467555972278e-58 1.37986768114925 0.212 0.007 3.09351119445561e-55
"CD81" 8.01123282003316e-57 -1.28329602123973 1 0.189 1.60224656400663e-53
"RPL12" 3.36207114235349e-56 -1.17866531642095 1 0.191 6.72414228470698e-53
"POLM" 3.68908494562381e-55 1.28583212974261 0.792 0.019 7.37816989124761e-52
"PRF1" 1.00113402428562e-53 -1.89875009071124 0.996 0.195 2.00226804857124e-50
"GADD45B" 3.84533878326365e-53 -1.27958986426725 0.936 0.151 7.6906775665273e-50
"C19orf12" 6.52677688821751e-50 1.09774231990895 0.227 0.016 1.3053553776435e-46
"RAP2B" 3.48835556822506e-47 -1.0628268980756 0.867 0.111 6.97671113645012e-44
"SP1" 9.90558836969947e-43 1.28805409605343 0.258 0.016 1.98111767393989e-39
"PAK1IP1" 3.78748072518915e-42 1.52667580302021 0.258 0.012 7.5749614503783e-39
"GPR171" 1.77707926177611e-40 -1.15127488036964 0.973 0.221 3.55415852355222e-37
"ST3GAL1" 2.19624536804317e-39 -1.43275865163535 0.92 0.181 4.39249073608634e-36
"ZFP36" 3.98843723144225e-39 -2.44734707962319 1 0.828 7.97687446288451e-36
"SLC16A7" 2.11728333996937e-37 -1.7677009225761 1 0.246 4.23456667993874e-34
"ACTB" 2.73203071445021e-37 1.27680447035365 0.992 0.742 5.46406142890041e-34
"CDKN1A" 3.15709123382647e-34 -1.985179986911 1 0.258 6.31418246765293e-31
"CHSY1" 2.00169209967286e-33 1.00765354835285 0.28 0.025 4.00338419934572e-30
"RSRC2" 2.93693195190383e-33 -1.03058594877245 0.303 0.107 5.87386390380766e-30
"FCER1G" 4.39484121315549e-33 1.8286067456664 0.242 0.004 8.78968242631098e-30
"IVNS1ABP" 7.45569419391848e-33 -1.70444529885146 0.939 0.219 1.4911388387837e-29
"C9orf78" 2.03426478978789e-31 -1.40419539655062 0.867 0.165 4.06852957957577e-28
"PTGER4" 4.13391205064371e-31 -1.13729895954363 0.985 0.263 8.26782410128742e-28
"ERN1" 9.14752468570022e-31 -1.6466405304017 0.841 0.142 1.82950493714004e-27
"ERGIC3" 3.9561089811102e-29 1.11579547909046 0.758 0.07 7.91221796222039e-26
"JUN" 1.18530814375185e-26 -1.78033220473271 0.966 0.265 2.3706162875037e-23
"THBS1" 2.57297643200907e-24 -1.29743939766812 0.75 0.081 5.14595286401814e-21
"SLC7A5" 5.11556850037834e-24 -1.66976562231406 1 0.304 1.02311370007567e-20
"CXCR6" 8.4643893310948e-24 1.24775206510858 0.731 0.075 1.69287786621896e-20
"ACTG1" 1.5623541213444e-21 1.3278170661809 0.886 0.465 3.1247082426888e-18
"HSPH1" 1.11989931116848e-20 -1.07278001602989 0.996 0.321 2.23979862233696e-17
"IKZF2" 3.62612047426186e-19 1.39659293444732 0.33 0.019 7.25224094852372e-16
"HSD17B11" 6.58260284327728e-19 -1.07104260192439 0.735 0.093 1.31652056865546e-15
"AUTS2" 1.56610917959293e-18 -2.04662888941624 0.879 0.233 3.13221835918587e-15
"S100A6" 2.34666649249623e-18 1.36262261926173 0.902 0.335 4.69333298499246e-15
"DUSP2" 5.67848846462066e-18 1.29222063374404 0.924 0.381 1.13569769292413e-14
"IL7R" 6.85741306739997e-18 -1.73411068743964 0.966 0.744 1.37148261347999e-14
"TIPRL" 6.00058075797093e-17 1.21813288134801 0.678 0.04 1.20011615159419e-13
"GOLGA7" 8.67720829235972e-17 1.04900009858737 0.678 0.042 1.73544165847194e-13
"RGCC" 1.59423959706964e-15 -2.43308337249539 1 0.689 3.18847919413928e-12
"CD27" 6.10929032772525e-15 1.16010150307206 0.367 0.026 1.22185806554505e-11
"DUSP4" 1.19920772367072e-14 -2.06165555681276 1 0.342 2.39841544734144e-11
"CCL5" 7.50930763840118e-13 1.34495594197329 0.905 0.535 1.50186152768024e-09
"TM9SF1" 9.17458521728069e-13 1.25310770354564 0.371 0.005 1.83491704345614e-09
"PFN1" 1.40442003382844e-12 1.03990235549552 0.845 0.412 2.80884006765689e-09
"DNAJB1" 8.50977960055814e-08 -1.49428606504474 1 0.407 0.000170195592011163
"SELL" 2.73959670752438e-06 1.15912168131627 0.436 0.063 0.00547919341504876
"ANXA1" 1.31752394339483e-05 -3.04555069683866 1 0.6 0.0263504788678965
"BIRC3" 4.23694156822168e-05 -1.46156261143323 1 0.428 0.0847388313644336
"MAPRE2" 0.000784956144498086 -1.00144051882822 0.655 0.144 1
"FOSB" 0.00770300688139842 -2.52053287194935 1 0.447 1
"SLC7A4" 0.0104145269014594 1.12465973323617 0.545 0 1
"ATG12" 0.0127477814850389 1.02477023075533 0.47 0.035 1
"LMNA" 0.0942862123747224 -2.48924719185007 1 0.472 1
"CRIP1" 0.186381187759035 1.57555370633641 0.485 0.019 1
"SRGN" 0.221067769500464 1.11059779151001 1 0.875 1
"CAPZB" 0.532592482802783 1.05444257328942 0.591 0.205 1
"FGL2" 0.624846565540964 1.05383697758406 0.489 0.019 1
"FOSL2" 0.651989835753804 -1.6597365037759 1 0.509 1
"MYADM" 0.881561230161442 -2.62855679906576 1 0.502 1
