"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"IL7R" 7.26957528700085e-91 2.33210486921015 0.966 0.072 1.45391505740017e-87
"HTRA1" 4.63082645136328e-85 -1.8702566623056 0.106 0.17 9.26165290272655e-82
"EHD3" 1.02139074828024e-83 1.65044569585257 0.117 0.002 2.04278149656048e-80
"NUP98" 4.19815241096036e-78 -1.05911982424324 1 0.114 8.39630482192071e-75
"CCR2" 1.41192564293455e-75 1.00559763458417 0.117 0.007 2.82385128586909e-72
"COQ10B" 4.52404280020033e-75 -1.03055797168892 0.985 0.109 9.04808560040066e-72
"FOS" 1.3863410337356e-73 1.67522119613385 0.883 0.026 2.77268206747121e-70
"GALM" 2.04104462037793e-71 -1.06878127289528 0.989 0.121 4.08208924075587e-68
"C19orf38" 6.83957549987131e-70 1.24242210894976 0.152 0 1.36791509997426e-66
"FECH" 2.86447543115355e-69 1.02926828192315 0.14 0.023 5.7289508623071e-66
"IER5L" 8.25190910113201e-66 -1.06885564070292 0.905 0.107 1.6503818202264e-62
"DUSP4" 6.53601968096527e-64 -3.8080230839002 1 0.881 1.30720393619305e-60
"TXNDC9" 1.90164909709875e-62 1.09996274193122 0.17 0.021 3.80329819419751e-59
"CDKN1A" 1.91597831639853e-62 -1.09867219340951 1 0.153 3.83195663279706e-59
"PTP4A3" 2.76109132453237e-61 1.2535672273962 0.174 0.005 5.52218264906473e-58
"MYC" 3.11591065647337e-61 1.39939067858473 0.159 0.002 6.23182131294673e-58
"SLC1A4" 5.96219768983466e-60 -1.81282291706582 0.992 0.156 1.19243953796693e-56
"MTHFD1" 9.36654681743408e-57 -1.27108802008242 0.939 0.121 1.87330936348682e-53
"SNX3" 5.12821862357821e-54 1.06657948614187 0.193 0.051 1.02564372471564e-50
"AREG" 5.18518121096884e-54 -1.48333322423044 0.936 0.123 1.03703624219377e-50
"ZNF683" 1.92917879161924e-50 -1.65346819420613 0.97 0.172 3.85835758323847e-47
"CD83" 1.02412619895601e-49 -1.76122591136103 1 0.188 2.04825239791201e-46
"APOL6" 1.20369459521555e-49 -1.44802712388322 1 0.188 2.4073891904311e-46
"KRTCAP2" 1.67744400366013e-49 1.1733715157459 0.208 0.023 3.35488800732026e-46
"TGIF1" 8.0589648339493e-48 -1.28270132135331 0.996 0.193 1.61179296678986e-44
"NME1" 9.3309365777235e-48 1.20501331704178 0.212 0.023 1.8661873155447e-44
"IDI1" 1.22894200058823e-47 -1.11527457147043 1 0.195 2.45788400117646e-44
"RBM4" 3.49139309745396e-45 -1.01932431808537 0.939 0.156 6.98278619490792e-42
"POLM" 2.76504980714526e-44 1.31005265450574 0.792 0.023 5.53009961429051e-41
"IRF4" 3.96307817342513e-42 -1.60684982767714 0.996 0.209 7.92615634685026e-39
"SLC16A7" 1.48898275296837e-41 -1.1907842637692 1 0.214 2.97796550593674e-38
"SCX" 5.55536590823436e-41 -2.14912104741106 0.784 0.142 1.11107318164687e-37
"PLP2" 6.45929711102031e-40 1.19778875079244 0.852 0.107 1.29185942220406e-36
"ADGRG1" 1.0122038169725e-39 -1.31433672314398 0.705 0.114 2.02440763394501e-36
