"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"SESN1" 1.68469227225942e-19 1.43530228358186 0.111 0.008 3.36938454451884e-16
"FECH" 9.09683009911393e-19 1.03709687196588 0.111 0.016 1.81936601982279e-15
"CPEB2" 1.55822907179069e-17 1.36351900349543 0.889 0.016 3.11645814358138e-14
"KDM2B" 1.84683722748246e-17 1.19945511573018 0.944 0.048 3.69367445496493e-14
"AP1AR" 2.3164310039455e-17 1.15361357424199 0.111 0.032 4.63286200789101e-14
"PDLIM5" 2.99015250737514e-17 1.88645575530959 0.944 0.048 5.98030501475027e-14
"CAB39L" 2.46950992513013e-15 1.51482729654851 0.167 0 4.93901985026027e-12
"C19orf38" 2.46950992513013e-15 1.02734965564004 0.167 0 4.93901985026027e-12
"TIGD2" 8.98743258462482e-15 1.2977088254367 0.167 0.008 1.79748651692496e-11
"LTA" 2.1985171332562e-14 -1.1235331696718 0.944 0.088 4.39703426651239e-11
"PIK3AP1" 2.1985171332562e-14 -1.11329097269167 0.944 0.088 4.39703426651239e-11
"SCX" 3.39469143943412e-13 -1.26244550465504 1 0.112 6.78938287886823e-10
"FSCN1" 9.40190741103604e-13 1.34265541705904 0.167 0.016 1.88038148220721e-09
"VCAM1" 7.45390523894852e-11 -1.08691129063716 0.889 0.112 1.4907810477897e-07
"FTO" 7.53340516148196e-11 1.74951273841155 1 0.152 1.50668103229639e-07
"CCDC115" 9.79628861357305e-11 1.08251991491255 0.889 0.08 1.95925772271461e-07
"HAVCR2" 1.13761937522672e-10 -1.09182015365459 0.944 0.128 2.27523875045344e-07
"IFT80" 8.73521276542789e-10 1.44400204270011 0.222 0.032 1.74704255308558e-06
"TSTD2" 7.0840461071543e-09 1.23136432667505 0.222 0.072 1.41680922143086e-05
"ESPL1" 1.23510017826198e-08 1.10966752821087 0.833 0.12 2.47020035652395e-05
"KRT86" 5.39487476109631e-08 -1.55026830893243 0.944 0.168 0.000107897495221926
"BASP1" 8.91168696831781e-08 -1.62350544690521 0.944 0.152 0.000178233739366356
"MAFF" 8.91168696831781e-08 -1.04366215572762 0.944 0.152 0.000178233739366356
"ADPRH" 1.32750315216789e-07 1.06051763507683 0.278 0 0.000265500630433578
"GZMA" 4.18694510657585e-07 -1.82227433029089 1 0.2 0.00083738902131517
"ATP1B1" 4.27775359809062e-07 1.11324842379316 0.278 0.024 0.000855550719618125
"MAP2K7" 4.58774871306467e-07 -1.02775600394633 0.889 0.128 0.000917549742612933
"PYGO2" 4.99490984358031e-07 1.07174166266678 0.278 0.024 0.000998981968716062
"RGS16" 6.43204958381899e-07 -1.17035173574071 0.889 0.152 0.0012864099167638
"TBC1D22A" 1.41889914529295e-06 1.02153839152417 0.278 0.056 0.00283779829058591
"ZRANB2" 1.73198963579674e-06 1.12009810634316 0.778 0.064 0.00346397927159347
"ZNF592" 2.39378511888919e-06 1.20505648060503 0.833 0.112 0.00478757023777838
"ZMYND11" 2.95634633241697e-06 1.31225103337498 0.278 0.064 0.00591269266483394
"IMPA2" 8.65778124005055e-06 1.28642679146089 0.278 0.032 0.0173155624801011
"TNFRSF4" 1.98454305690344e-05 1.12567953917846 0.278 0.072 0.0396908611380687
"UBE2C" 2.08648159714147e-05 1.71483211201615 0.944 0.312 0.0417296319428293
"CXCL13" 2.32599253230625e-05 -1.74858716922006 1 0.24 0.046519850646125
"SLC1A4" 2.32599253230625e-05 -1.5051237976728 1 0.24 0.046519850646125
"SNX9" 7.38961630249306e-05 -1.02799033607931 1 0.256 0.147792326049861
"S100A9" 7.65551715475152e-05 1.81586254676013 0.333 0 0.15311034309503
"JCHAIN" 7.70108544342064e-05 2.39608444078554 0.667 0.056 0.154021708868413
"CCNA2" 9.39544367839334e-05 1.1941013368713 0.889 0.216 0.187908873567867
"DOK5" 0.00011806065099246 1.08002750061481 0.333 0.016 0.236121301984921
"IVNS1ABP" 0.000142028468542435 -1.07374240338074 1 0.264 0.28405693708487
"RAB21" 0.000163847140441768 -1.15152147570055 1 0.264 0.327694280883535
"CD63" 0.000514053515009295 -1.02510689468586 1 0.28 1
"ADAM19" 0.00078274633455608 -1.07243493840754 0.889 0.216 1
"CD83" 0.000809045413826868 -1.49250489223064 1 0.288 1
"SAC3D1" 0.00161032315503897 -1.12079225290162 0.778 0.16 1
"SUZ12" 0.0017341317600681 1.00732356860358 1 0.392 1
"ASF1B" 0.00318069982729576 -1.34739501188935 0.5 0.52 1
"SOX4" 0.00512838016389966 -1.10719637094597 0.722 0.104 1
"SHMT2" 0.00594041703402082 -1.14875111944372 0.889 0.248 1
"TRIP10" 0.00653197247647335 1.11546872155207 0.333 0.032 1
"AGGF1" 0.00805035672076033 1.34113634068727 0.389 0.04 1
"EIF1AD" 0.00875681021150355 1.36535353803939 0.389 0.04 1
"CDC5L" 0.0106490191146184 1.22807685651701 0.389 0.104 1
"RPL12" 0.0178873495309419 -1.03738693602625 1 0.344 1
"SRGN" 0.024488327264147 1.28431392976291 1 0.792 1
"CD81" 0.0252887866928126 -1.42854598968248 1 0.352 1
"HK2" 0.0300256875172304 1.04154376360563 0.611 0.024 1
"CRLF2" 0.042898078612612 1.22307282402703 0.389 0 1
"HSPA1B" 0.0478218093330517 -2.2567586717666 1 0.368 1
"ITM2A" 0.0494352999314825 -1.55180922965216 1 0.376 1
"CCL5" 0.0741977634638752 -1.4864960385655 0.944 0.368 1
"MRPL18" 0.121778810990909 -1.15231416497899 0.556 0.288 1
"UHRF2" 0.150183276066135 1.23267520110045 0.444 0.056 1
"ALOX5AP" 0.190036782783607 -1.21482889320337 1 0.416 1
"HELB" 0.225676374287256 1.04077271461916 0.611 0.104 1
"MCM6" 0.233357269125583 -1.16298571866878 1 0.448 1
"SLC35C1" 0.273521957787835 1.05908670098626 0.556 0.016 1
"SNX3" 0.336834908494159 1.02497246688912 0.5 0.152 1
"CLSPN" 0.342833977653169 1.09237041371972 0.611 0.16 1
"SSBP3" 0.455574332503233 1.58048903091225 0.5 0.12 1
"EIF4EBP2" 0.500035350680818 -1.13160039408457 0.778 0.32 1
"DUSP2" 0.504295998583552 2.09944238007239 0.611 0.4 1
"FOSL2" 0.560920385196352 -1.23199910995347 1 0.464 1
"GSS" 0.658576556493951 -1.0449373613352 0.5 0.096 1
"HSPH1" 0.663685895632371 -1.10552310545267 1 0.568 1
"KRTCAP2" 0.804326118885239 1.1750645459377 0.5 0.048 1
"TYMS" 0.871633073007518 -1.15731200681706 0.944 0.512 1
"SLC1A5" 0.900501545828809 1.44781678036927 0.556 0.136 1
"SFXN2" 0.978668177835411 1.00359976696825 0.5 0.08 1
