"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"PASK" 1.34998596804136e-105 -1.35346517777976 0.995 0.09 2.69997193608272e-102
"MAGEH1" 4.16522017934046e-104 -1.04134685552169 0.991 0.093 8.33044035868091e-101
"CH25H" 3.44389475824429e-101 -1.09570025338396 0.802 0.048 6.88778951648858e-98
"APOL6" 4.25455885621752e-95 -1.34012925257287 1 0.11 8.50911771243505e-92
"SERPINE2" 1.47557396840479e-86 -1.33391139667074 0.908 0.095 2.95114793680957e-83
"G0S2" 3.12568329953886e-85 -1.20329082007075 0.783 0.06 6.25136659907771e-82
"PGAP1" 6.05150614071057e-76 -1.05905481575195 0.912 0.084 1.21030122814211e-72
"STRN4" 5.83948612760192e-75 1.10251257794398 0.184 0.014 1.16789722552038e-71
"PKIA" 2.06804852487834e-69 -1.12229183409956 0.793 0.062 4.13609704975667e-66
"VOPP1" 3.01287347889586e-68 -1.43258505961385 1 0.161 6.02574695779173e-65
"SP1" 1.29059626821903e-65 1.343282059315 0.203 0.032 2.58119253643805e-62
"TRAT1" 8.29988823992574e-64 -1.41797832745016 0.986 0.161 1.65997764798515e-60
"CD83" 1.2079913764032e-61 -1.63386656748509 1 0.174 2.41598275280641e-58
"RAP2B" 1.40560266690748e-59 -1.24839305555826 0.935 0.134 2.81120533381496e-56
"SF3B4" 1.51371316707239e-56 1.04584893267917 0.226 0.033 3.02742633414478e-53
"VDR" 1.94866882951003e-55 -1.42911868736489 0.935 0.143 3.89733765902007e-52
"RDH10" 1.97586109792221e-54 -1.76648343908076 0.908 0.146 3.95172219584442e-51
"PLIN2" 6.98944583539342e-51 -1.61454112445216 0.991 0.195 1.39788916707868e-47
"IL2RA" 1.03890110143133e-50 1.53358411783961 0.783 0.029 2.07780220286266e-47
"GLRX" 6.78108924520968e-49 1.2648763030285 0.788 0.038 1.35621784904194e-45
"HSPA1B" 3.13805129513899e-47 -2.20229528688151 1 0.211 6.27610259027798e-44
"KRTCAP2" 3.16529937564889e-45 1.53200006007025 0.258 0.014 6.33059875129778e-42
