"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"PJA2" 1.06169151856153e-117 -1.15079506662522 0.991 0.103 2.12338303712307e-114
"HPGD" 3.98564123787696e-115 -1.69566946258108 0.986 0.108 7.97128247575393e-112
"CADM1" 2.56445600376198e-114 -1.09596472082276 0.839 0.068 5.12891200752396e-111
"GABARAPL1" 1.36558772961773e-111 -1.07002722166657 1 0.117 2.73117545923545e-108
"GEM" 5.91832948957974e-110 -1.1889165237538 1 0.119 1.18366589791595e-106
"VPS13C" 2.09072540999839e-102 -1.05230313699744 1 0.129 4.18145081999677e-99
"VOPP1" 1.19913526104712e-99 -1.14426837308531 1 0.133 2.39827052209424e-96
"IRF4" 1.55851091274415e-97 -1.24252423287232 0.991 0.13 3.1170218254883e-94
"MAGEH1" 8.23038700096742e-96 -1.68334700724841 0.991 0.135 1.64607740019348e-92
"APOL6" 1.64567290884773e-90 -1.542257591451 1 0.145 3.29134581769546e-87
"SP1" 1.25168876476718e-87 1.20445841457631 0.203 0.024 2.50337752953435e-84
"PNPLA8" 1.01344589794938e-85 -1.11350746226715 0.922 0.1 2.02689179589876e-82
"SLC7A5" 3.05260279391024e-85 -1.09667743119598 1 0.155 6.10520558782048e-82
"CRTAP" 3.1610762810969e-84 -1.2246512103419 0.922 0.104 6.32215256219379e-81
"CD83" 7.13714773414552e-83 -1.44973317853506 1 0.158 1.4274295468291e-79
"PLIN2" 6.67374061949949e-78 -1.35801595482208 0.991 0.161 1.3347481238999e-74
"TYMP" 5.16629821931482e-77 -1.07108509176676 0.935 0.124 1.03325964386296e-73
"VDR" 1.41672417393051e-76 -1.29797072008888 0.935 0.125 2.83344834786102e-73
"SF3B4" 1.64134229237605e-75 1.27484506518597 0.226 0.021 3.28268458475211e-72
"GADD45A" 1.44296028415424e-74 -1.7768322440096 0.995 0.169 2.88592056830848e-71
"IDI1" 2.08876362223956e-74 -1.32749643882828 1 0.173 4.17752724447911e-71
"HSPB1" 2.17368774626406e-70 -1.43157845642259 1 0.179 4.34737549252811e-67
"RPL12" 3.84197264960873e-68 -1.05447805999543 1 0.184 7.68394529921746e-65
"SNX9" 1.68246979702146e-65 -1.17278607593619 0.991 0.184 3.36493959404293e-62
"CDKN1A" 2.49129509572933e-63 -1.18147337366105 0.995 0.192 4.98259019145866e-60
"LPCAT2" 5.5324003123589e-62 1.20649001990682 0.124 0.001 1.10648006247178e-58
"SLC16A7" 6.20487197302457e-60 -1.16126246451888 1 0.201 1.24097439460491e-56
"KRTCAP2" 1.90467860859858e-59 1.43447218702445 0.258 0.021 3.80935721719716e-56
"RAB21" 1.10703365971929e-57 -1.17989635241621 0.94 0.167 2.21406731943858e-54
"TMEM176A" 1.3452339234563e-55 1.32121151612694 0.194 0.001 2.69046784691261e-52
"HSPA1B" 2.1540766498014e-55 -2.21376073958255 1 0.21 4.3081532996028e-52
"ITM2A" 4.05140360384494e-53 -1.40115489908917 1 0.217 8.10280720768988e-50
"ARL2BP" 4.89284697625051e-53 1.26538800125362 0.272 0.025 9.78569395250103e-50
"SNX3" 9.24287308510966e-51 1.31696679124247 0.272 0.056 1.84857461702193e-47
"SPTLC2" 4.50780523514163e-47 1.19864078306713 0.276 0.017 9.01561047028326e-44
"RYBP" 5.52350949782473e-43 -1.4754171185764 0.991 0.237 1.10470189956495e-39
"PMAIP1" 2.98956844370667e-41 -1.13256316827056 1 0.252 5.97913688741334e-38
"CCR2" 2.81348106459424e-39 1.48253234193164 0.29 0.009 5.62696212918848e-36
"PRDM1" 4.56534862586108e-38 -1.38932367925648 0.972 0.243 9.13069725172216e-35
"KDM4C" 1.21133112781033e-35 1.00717875958982 0.7 0.021 2.42266225562067e-32
"CCL5" 1.47139621624086e-35 1.1763063941232 0.728 0.049 2.94279243248172e-32
"FOSB" 2.80547786540335e-34 -1.3997300439716 1 0.268 5.6109557308067e-31
"TBC1D4" 2.00937921328539e-32 -1.04551846302165 0.912 0.217 4.01875842657078e-29
