"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"SCGB3A1" 8.78730781973123e-234 -1.02466924606625 0.928 0.046 1.75746156394625e-230
"EHD3" 7.82537954964688e-221 1.58721612614948 0.117 0.003 1.56507590992938e-217
"COQ10B" 5.70120398562574e-186 -1.0336322400904 0.985 0.08 1.14024079712515e-182
"C19orf38" 1.12355810916002e-185 1.24242210894976 0.152 0 2.24711621832004e-182
"ERCC5" 3.2821456670374e-182 -1.2082682964257 0.973 0.076 6.56429133407481e-179
"GADD45A" 1.49477342672757e-180 -1.00399881193212 0.985 0.085 2.98954685345514e-177
"FECH" 2.56745614952364e-178 1.01586548910226 0.14 0.011 5.13491229904729e-175
"PDE2A" 4.73944195408212e-177 1.02167574813443 0.155 0.001 9.47888390816425e-174
"IRF4" 1.44800427782833e-176 -1.18994846152378 0.996 0.094 2.89600855565666e-173
"NUP98" 8.62853110660725e-176 -1.29414476190449 1 0.097 1.72570622132145e-172
"VPS13C" 4.03364082161683e-169 -1.1156439537848 1 0.102 8.06728164323366e-166
"TXNDC9" 6.68127899065968e-161 1.20046820691191 0.17 0.009 1.33625579813194e-157
"PTP4A3" 1.0526657208363e-159 1.22393276651254 0.174 0.005 2.10533144167259e-156
"MYC" 7.47386519867221e-159 1.27721828543889 0.159 0.008 1.49477303973444e-155
"MARCKSL1" 1.09373677136025e-153 -1.16318586625009 1 0.115 2.1874735427205e-150
"TSC22D2" 2.16314294890222e-149 -1.03698115086368 0.985 0.109 4.32628589780444e-146
"PLIN2" 2.46240820755847e-144 -1.06652739708844 0.973 0.107 4.92481641511694e-141
"TGIF1" 1.79949356278233e-143 -1.0143483109584 0.996 0.122 3.59898712556467e-140
"ELL2" 1.38921219971769e-139 -1.22011618170382 0.951 0.097 2.77842439943537e-136
"APOL6" 3.3440857961136e-139 -1.356292323027 1 0.127 6.6881715922272e-136
"AREG" 5.52557458225321e-135 -1.38901256491905 0.936 0.091 1.10511491645064e-131
"PNPLA8" 2.62850227420866e-134 -1.11198175801807 0.958 0.107 5.25700454841732e-131
"KRTCAP2" 7.87139695050639e-124 1.14017854113027 0.208 0.016 1.57427939010128e-120
"GABARAPL1" 8.28314102565644e-124 -1.30440024682028 0.996 0.141 1.65662820513129e-120
"NME1" 2.10686407523528e-121 1.27920495904903 0.212 0.011 4.21372815047056e-118
"FABP5" 2.82889925913283e-118 -1.17221731866154 0.871 0.078 5.65779851826566e-115
"CDKN1A" 3.47969274642718e-118 -1.36149005552833 1 0.15 6.95938549285436e-115
"APMAP" 8.36839111019213e-114 -1.16286751271565 0.943 0.118 1.67367822203843e-110
"IVNS1ABP" 8.41473050641697e-114 -1.03272695717807 0.939 0.116 1.68294610128339e-110
"ALOX5AP" 3.94446863837551e-113 -1.37121386651662 1 0.155 7.88893727675103e-110
"EGR1" 1.88451528949911e-112 -1.2392754698027 0.905 0.096 3.76903057899821e-109
"POLM" 3.36912267832487e-110 1.16626837971976 0.792 0.021 6.73824535664975e-107
"SLC16A7" 2.25920302810891e-108 -1.28726298774725 1 0.16 4.51840605621783e-105
"GZMM" 2.69125005058263e-102 -1.6854712044375 0.977 0.154 5.38250010116526e-99
"RBM4" 1.96887282944806e-101 -1.18810064543577 0.939 0.13 3.93774565889613e-98
"PRF1" 5.66662869458752e-101 -1.54306130722602 0.996 0.167 1.1333257389175e-97
"MAFF" 6.61343191367254e-101 -1.54821733811801 0.936 0.127 1.32268638273451e-97
"TIGIT" 1.53536405974417e-97 -1.23350606825864 0.936 0.132 3.07072811948834e-94
"ITGA4" 1.6432967397587e-94 1.00505825693902 0.246 0.018 3.2865934795174e-91
"HSPA1B" 1.1144752352173e-93 -2.04675542094439 1 0.178 2.2289504704346e-90
"ERN1" 2.54745479926141e-91 -1.04421755580117 0.841 0.073 5.09490959852283e-88
"PAK1IP1" 4.14378675444589e-86 1.41070093155258 0.258 0.015 8.28757350889178e-83
"SP1" 8.53893853041445e-86 1.22142167888153 0.258 0.021 1.70778770608289e-82
"ITGB1" 2.26458011476086e-84 1.07612647888784 0.913 0.154 4.52916022952172e-81
"USP36" 8.947725990702e-82 -1.0951074154364 1 0.199 1.7895451981404e-78
